cleaned_text,Sentiment
 انطيني تغريدة واحدة لك وانت تنتقد الجرائم في غزة انطيني تغريدة واحدة وانت تنتقد افعال امريكا في كل العالم انطيني تغريدة واحدة وانت تنتقد اعمال السعودية والامارات وهم يدمرون المنطقة ويتامرون عن الامة الاسلامة وبالاخص غزة   جا شلون تصير العمالة والخيانة روح حبيبي استلم راتبك نزل,ايجابي
  روح غسل كنادر و بوس اقدام زوار فتش عن محرمك بحضن معممين خل السعودية ذكرك لإاسمها لها عار ما انت لنا ند انت من ظمن مغيبين ,ايجابي
مباراة فريق بريشكوت البلجيكي اللي يلعب معاهم مروان وفيصل الغامدي منقوله على قناة دازن   اللي عنده   روح للقنوات البلجيكيه وبعدين اختار قناة   ,ايجابي
 ولله احنه هم مايشرفنا واحد مثلك لاعبين بي طوبه حالك حال قوم النبي لوط عليه السلام روح واكل وحل وخلي السعودية تحتضنكم ياخايس,سلبي
   يا 🐕 روح دافع عن شرفك وعرضك  الي دنسوه المجوس يا زنبيل   وكل يوم يغتصبون بنت ومافي ولا رجال فيكم  يدافع عنهم او يتكلم عن الموضوع   بدال ما نت مسخر صفحتك تسب السعودية  ومره تتدخل في الصومال  دافع عن شرفك  وبنات بلدك الي راحو سبايا لشيعة المجوس ومغتصبات بصنعاء 👇,ايجابي
  انت مستحيل تكون من ارض نبينا الأقدس و لا يمكن تكون من اصل اهلنا في السعوديه  الشعب الأبي حامي حماة الدين  روح شوف اصلك من فين,سلبي
  في مباراة كرة القدم الدولية بين منتخب بلادها ومنتخب السعودية قامت جماهير بيرشكوت برفع علم السعودية تعبيراً عن الود والترحيب بالفريق الضيف وقد لاقت هذه اللفتة استحساناً كبيراً من قبل اللاعبين والجماهير السعودية وأظهرت روح الرياضة الحقيقية والتآخي بين الشعوب,ايجابي
كل واحد يبحر لروحه آلسعوديه وش عليها كل شي برأس آلسعوديه,ايجابي
 العفن الي فوق مو لهجتنا الي تحتها يزين السعودية ولهجاتها حاصل لك دولة زيها واللحين روح حسابك كمل صياح 🌷,ايجابي
  من الشيوخ الذين احلو غزو العراق اجب دون لف ودوران ثانياولي أمري هو عبد المجيد تبون حفظه الله و رجلك فوق راسك أما الشأن السعودي مع حماس فلا دخل لي فيه و أنت كجزائري ما دخلك في السعوديةأليس الأولى أن تهتم بشأن بلدنا الجزائر فقط و إذا عندك مرض اسمه السعودية روح لطبيب نفسي و عالج,ايجابي
  ميلاف علامة تجارية لتسويق وتصنيع التمور ومشتقاتها تتبع لشركة تراث المدينة أحدى شركات صندوق الاستثمارات العامة المعنية بتسويق التمورالمنتجة في السعودية   ,ايجابي
 ما ادري أنتم مثلي والا لا  إذا بحثت في قوقل او يوتيوب او بينترست عن السعودية والأزياء التراثية السعودية تطلع صور سعودية وتطلع صور امصارية وحسابات امصارية  ليه  أنا حددت التراث السعودي ما كتبت تراث الشرق الأوسط عشان تطلعون لي يمنيين و غجريين,ايجابي
زينوبه التراث السوداني الأصيل من تراث اهلنا في جبال النوبه بصوتي الشين 😂😂  اخوكم حمود من المملكة العربية السعودية 🇸🇩❤️🇸🇦,ايجابي
 يا متخلف قبل لا تعارض و تشكك تاكد  بعدين اليمن و جنوب السعودية واحد لهجه وحده و تراث واحد ليه تحاول تطلع من السالفه  و اسم العسكر موجود اسمه الثلاثي نظف اذانك واسمع كويس,سلبي
مضيئ باذن الله    نسقت امسية شعرية لمدارس   قبل ٢٠ سنة ايام جميلة ولله الحمد  اسال الله التوفيق والسعادة لكل من دعم النشاط وانجحه كانت مميزة  اتشرف اني كنت  في,ايجابي
  انت غبي ولا حمار ولا شسالفتك بالضبط الخيمة تراث الجزيرة العربية كلها مب بس السعودية يالثور حتى في قطر عندنا ملعب كامل على شكل خيمة لكن شكلك فسيخ لأن هالغباء مب غريب عليهم,ايجابي
  ميلاف علامة تجارية لتسويق وتصنيع التمور ومشتقاتها تتبع لشركة تراث المدينة أحدى شركات صندوق الاستثمارات العامة المعنية بتسويق التمورالمنتجة في السعودية   ,ايجابي
سلسلة نوادر النوادر  من سواليف العم فهد ابن مقرن    إعداد وتقديم م سعود بن عبدالعزيز ابن مقرن,ايجابي
خيار استثنائي لسياحة مذهلة ممتعة ونحن نساهم بمنتجاتنا لإثراء متعة الزوار       ف,ايجابي
خيار استثنائي لسياحة مذهلة ممتعة ونحن نساهم بمنتجاتنا لإثراء متعة الزوار      ف,ايجابي
نتمنى من وزارة الإعلام  منع المدعوه أمل الزهراني من تمثيل بعض القصص من تراث  العريقه  في مسلسل علوم الأولين الذي يعرض بالقناة السعوديه الأولى   لأنها تظهر بمقاطع وصور خادشه للذوق العام   ولولا الحياء لنقلت لكم بعض من هذه الصور التي لاتمثل مجتمعنا,ايجابي
تشرفنا في بلدنا بزيارة السيد محمد اليامي نائب الرئيس التنفيذي لشركة تراث المدينة إحدى شركات صندوق الاستثمارات السعودية  برفقة السيد مايكل حنوش وكان باستقبالهم السيد عبد الرزاق قطان مدير عام  حيث تم استعراض النمو السريع لمبيعات التمور السعودية في الاسواق الاوروبية,ايجابي
جده ريماس للحينها عايشه من السعوديه الأولى والحين  لازم يحطونها تُراث,ايجابي
من زيارة الوالد معالي الشيخ عبدالله بن سليمان بن محمد المنيع عضو هيئة كبار العلماء لمتحف قوافل الوشم الحدرات بشقراء ,ايجابي
📍اعلان  عن انطلاق  والتى تهدف إلى تأصيل تراث الإبل وتعزيزه في الثقافة السعودية,ايجابي
 طيب تعرفين تسدين حلقك يالحسودة مره وحده عن اي شيء يخص السعودية سواء براند سعودي ولا تراث سعودي و أي شيء سعودي بشكل عام ولا كيف,ايجابي
  🫣 نعم حرم ابونا   نطالب بتنفيذ التوسعات الجديده حسب تراث جميع المناطق السعوديه   الجنوب والشرق والشمال والغرب والوسط,ايجابي
❌️ مرفوض ❌️ عدم تسجيله عذر أقبح من ذنب تعتذر أنك جاهل ومهمل فاشل لو عمره تحت  سنه هو أثر وارث وقريبا يباع للاشخاء ليقولوا زورا هذا تراث اجدادهم  التوقيت الشتوي بحر العرب فرد الامن,سلبي
شارع الأردنيين في الرياض نافذة إلى تراث الأردن في قلب السعودية,ايجابي
سعدنا بمشاركتنا في معرض  سيال باريس   الدولي للصناعات الغذائية حيث عرضت علامتنا التجارية ميلاف ابتكارات التمور السعودية على نخبة من الخبراء العالميين في مجال الغذاء كما تشرفنا بزيارة سفير خادم الحرمين الشريفين لدى جمهورية فرنسا أ فهد الرويلي لجناح ميلاف🇸🇦  الشكر موصول ل   ونتطلع لمشاركاتنا العالمية القادمة,ايجابي
فأطوف سبعاً وأسعَي سبعاً وأبكي ألفاً وأُناجي وأُناجي حتى تَطيب نفسي هُناكَ   اللهم مكّة اللهم عُمرة اللهم حَجّة 🤍,سلبي
 اللهم اكفنا شر الفتن  ويكفينا شر خلقه,ايجابي
مكة والمطر يهطل والإمام ياسر الدوسري يارب ارزقنا هذه اللحظات,ايجابي
فيديو    شاهد  لقطات لتحديات ومشاريع وابتكارات طلاب وطالبات منطقة  المكرمة خلال منافسات  ,ايجابي
 في مكة,ايجابي
قمر الليله 🌚   ,ايجابي
البنت اسماء لحد الان لم يتم العثور عليها كلام المسؤولين انها مختطفه الله يحميها عن كل شر 💔🌷,ايجابي
مكه المكرمة زمان 🕋,ايجابي
مباشر أمطار الحرم المكي الشريف,ايجابي
مكة 🕋❤️,ايجابي
صبح بخیر مکہ 🧡,ايجابي
فيديو    حين تقهر  الهمة  كل الظروف   هنا الموهوبة دانة الجعيد من  وقصة طموح وهمة قادتها لابتكار مشروع بالذكاء الاصطناعي لمحاربة سرطان الثدي والأمراض المزمنة وتنال إعجاب المحكمين في معرض,ايجابي
آهٍ لَوْ أَنَولُهَا  آهٍ لَوْ أَنَا لَهَا اللهمّ مكّة ونحنُ في شَبَابنَا🤍,ايجابي
النفسية محتاجة مكه وجلسة على بلاط الحرم وسجدة قدام الكعبة وتدعي والدنيا مطر ,ايجابي
مامكةُ الخير إلا قلبُ عالَمنا هل من حياةٍ بغير القلبِ نحياها 🤍,سلبي
لحظات يتمناها الجميع مكة ومطر 🥹❤️,ايجابي
نتذكر حادثة إرهابية في مكة المكرمة والتي توفي فيها النقيب ياسر المولد والعريف فهد وزنه عام ١٤٢٤هجري ووجه الامير نايف رحمهم الله بدخول إبنيهما في كلية الملك فهد الأمنية وكانا وقتها في الابتدائيةهنا ولله الحمد وسيم بن ياسر وفيصل بن فهد تخرجا برتبة ملازم من الكليه الأمنية ❤️🇸🇦👍,ايجابي
 امطار مكة الكعكية الان  ربيع الآخر ,ايجابي
 جدة التاريخية في جدة  مدائن شعيب في تبوك   الدرعيه التاريخية في نجد  قصر المصمك في الرياض   قرية رجال ألمع في عسير   مدائن صالح في العلا   قرية ذي عين في تهامة  قلعة تبوك في تبوك   قرية الفاو في نجد   النقوش التاريخية في حائل      🤍🤍🤍🤍    ,ايجابي
 جدة التاريخية في جدة  مدائن شعيب في تبوك   الدرعيه التاريخية في نجد  قصر المصمك في الرياض   قرية رجال ألمع في عسير   مدائن صالح في العلا   قرية ذي عين في تهامة  قلعة تبوك في تبوك   قرية الفاو في نجد   النقوش التاريخية في حائل       ,ايجابي
 جدة التاريخية في جدة  مدائن شعيب في تبوك   الدرعيه التاريخية في نجد  قصر المصمك في الرياض   قرية رجال ألمع في عسير   مدائن صالح في العلا   قرية ذي عين في تهامة  قلعة تبوك في تبوك   قرية الفاو في نجد   النقوش التاريخية في حائل      🤍🤍🤍🤍    ,ايجابي
 جدة التاريخية في جدة  مدائن شعيب في تبوك   الدرعيه التاريخية في نجد  قصر المصمك في الرياض   قرية رجال ألمع في عسير   مدائن صالح في العلا   قرية ذي عين في تهامة  قلعة تبوك في تبوك   قرية الفاو في نجد   النقوش التاريخية في حائل      🤍🤍🤍🤍    ,ايجابي
طفشت من القاعدة في البيت  غير جو وعيش المود وأرجع الى المنزل بعد أجمل أجازة فى  جورجيا 📞     ✈,ايجابي
جو الرياض اليوم جبر خاطر مرحبا بأجمل فصول السنه ❤️,ايجابي
 جدة التاريخية في جدة  مدائن شعيب في تبوك   الدرعيه التاريخية في نجد  قصر المصمك في الرياض   قرية رجال ألمع في عسير   مدائن صالح في العلا   قرية ذي عين في تهامة  قلعة تبوك في تبوك   قرية الفاو في نجد   النقوش التاريخية في حائل       🤍🤍🤍🤍    ,ايجابي
 اللي عجزت افهمه ليش الناس تشوفه شيء كارثي البحرين مساحتها صغيرة المملكة بمواطنيها ومقيمينها عدد هائل طبيعي يطلع منهم ناس للبحرين  معقولة الكل بيتكدس في الرياض  وخاصة إنها أقرب للشرقية  غير كذا السالفة سالفة تغيير جو ماله علاقة عندنا وعندهم,ايجابي
بخاطري صغير ناعم نعيش جو رومانسي ودلعه وصرف عليه ونبقى بعض بس ماحصلت جاد 😔💔,ايجابي
 جدة التاريخية في جدة  مدائن شعيب في تبوك   الدرعيه التاريخية في نجد  قصر المصمك في الرياض   قرية رجال ألمع في عسير   مدائن صالح في العلا   قرية ذي عين في تهامة  قلعة تبوك في تبوك   قرية الفاو في نجد   النقوش التاريخية في حائل      🤍🤍🤍🤍    ,ايجابي
جو الرياض اليوم يخليني احب حتى اعدائي,ايجابي
 يازين جو الرياض بالشتاء 😴,ايجابي
يازين نسايم الشتاء ويا حلو جو الرياض,ايجابي
كان ولايزال ممتع داخل الملعب     وخارجه     زمان كان يشكل مع       إداري فريق قدم        جو من المتعة بالضحك ويوسف داخل الملعب والقصيمي في   دكة الاحتياط 🤣🤣🤣🤣🤣     أجل يايوسف    صار ابوحمدان أبو مروان      معك حق تقول   🤣,ايجابي
ياحلو جو الرياض 🤤,ايجابي
 لا تحاول والله اختار جو الرياض كل يوم,ايجابي
  وهل جو جدة مثل زيلامسي  هل جو الرياض او الدمام مثل بالي او كوالالمبور ,ايجابي
جو الرياض يا ناس 😮‍💨,ايجابي
 جو الرياض خيالي الحمدلله على الشتاء,ايجابي
 اليوم جو الرياض يشبهني  ☁️  يشبه تفاصيلي  ويشبه اشياء فيني لا استطيع البوح بها,ايجابي
السعوديهابواب من التراث السعودي تراث منطقة الباحة من كتابكنوز غامد وزهران العمرانية للمهندس سعيد بن إبراهيم الحسيل,ايجابي
الوطنية عند بعضهم تعني الهجوَلة في  دون وعي بمعنى الوطن والهوية  لاحظ وعي سمو  بضرورة انعكاس هوية المكان في كل شيء حتى في البناء  كود البناء الحديث يجب أن على طراز البناء القديم  بعضهم مدمن للتقليد لدرجة تجلب الغثيان  احترم خصوصيتك تُحترَم,ايجابي
المنشآت الحجرية السعودية  وفقًا لليونسكو تضم المملكة العربية السعودية حوالي مليون من المنشآت الحجريّة بعد هجرة البشر افريقيا لأول مرة منذ حوالي  مليون سنة يعود تاريخ أقدم مستوطنة معروفة في السعودية إلى  مليون سنة في منطقة الجوف تنتشر هذه المنشآت في جميع أنحاء المملكة والبعض منها كانت تتماشى مع النجوم مثل موقع الرجاجيل يعود تاريخها إلى  سنة قم في الجوف لتساعد في تحديد الفصول ومواسم هجرة الحيوانات أما الجزء الأكبر من هذه المنشآت فهي تستخدم كمصائد للحيوانات ومقابر,ايجابي
من زيارة الوالد معالي الشيخ عبدالله بن سليمان بن محمد المنيع عضو هيئة كبار العلماء لمتحف قوافل الوشم الحدرات بشقراء ,ايجابي
افتتاح جناح المملكة العربية السعودية في  إحدى مناطق  والتي تعكس تراث وثقافة  منطقة من مناطق المملكة,ايجابي
من تراث السعودية الجميل 🇸🇦  فن زخرفة الأبواب النجدية,ايجابي
نحن في السعودية نحمل إرثًا حضاريًا بشرياً عريقًا تشهد عليه آثار باقية على أرضنا في جميع أرجائها ليست حضارة وحدة بل حضارات متنوعة إضافةً إلى حضارة سماويةروحانية عظيمة متجذرة تشكل أصل ومنبع الحضارات الروحانيةالسماوية فكل يوم خمس مرات تتوجه مليارات من قلوب الناس نحو دولتنا أما في  فلا وجود لآثار تدل على حضارات بشرية قديمة على أرضكم فأنتم بلا ماضٍ عريق وحاضركم لا يخلو من طابع الفكاهة إذ اجتمعتم قبل خمسين عامًا فقط لتأسيس اتحاد من إمارات ومشيخات صغيرة متفرقة في ساحل عمان حتى لا تبتلعكم الدول الكبرى المجاورة كما حدث سابقًا مع إيران عندما احتلت جزرَكم دون أي رادع أو مقاومة تليق بالكرامة والشجاعة والقوة  أما نحن السعوديين فدولتنا هي الأقدم والأكبر في الجزيرة العربية عمرها  أعوام تأسست على الوحدة وبنيت بجهود عظيمة كدولة مركزية تضم معظم أراضي الجزيرة العربية ولم تتشكل بقرار واتفاق قابل للتفكك فهي ليست كيانًا قد ينفصل في أي لحظة بقرار إمارة من الإمارات عن العاصمة أبوظبي,ايجابي
سلسلة نوادر النوادر  قصة الحاجي عنبر    إعداد وتقديم م سعود بن عبدالعزيز ابن مقرن,ايجابي
السياحة السعودية من أعظم موروثنا السعودي صناعة دلال القهوة وتعتبر الدلة الحائلية وغيرها من الموروث السعودي الجميل في مناطقنا رمزاً للكرم والضيافة السعودية  قناة   الكورية الجنوبية توثق صناعة الدلة الحائلية عبر البرنامج الوثائقي,ايجابي
جناح المملكة العربية  في  إحدى مناطق  والتي تعكس تراث وثقافة  منطقة من مناطق المملكة 🇸🇦,ايجابي
 دوّر الابل معروف من ماض الازمان عبر الزمن    ماهو  بْوقتً مْحدد  ومن عهد ابو تركي ليا  عهد سلمان ترى العرب والبل تراث  يتجدد       ,سلبي
الصورة الأكثر تداولا في السعودية  علشان سجادة خريطة القطر المصري اللي فيها تيران وصنافير مصرية  والسعودية مكتوب فيها الحجاز  اخواتنا السعاودة دي سجادة قديمة بقالها ١٠٠ سنة من قبل تأسيس السعودية فالموضوع مش مقصود مع ولي العهد  السجادة دي اقدم من تأسيس المملكة,ايجابي
في أجواء تملؤها المحبة والاعتزاز بالوطن احتفلنا في شركة تطوير لتقنيات التعليم  وشركة تطوير التعليم القابضة   ب   متنقلين ما بين إرثها وحضارتها بجولات مابين القط العسيري و السدو إلى العرضة السعودية والمعزوفات الوطنية  المملكة تراث يُدرس وحضارة شامخة 🇸🇦,ايجابي
تعزيزًا لصادرات التمور السعودية   تراث المدينة  تفتح منافذ جديدة في الصين,ايجابي
شارع الأردنيين في الرياض نافذة إلى تراث الأردن في قلب السعودية,ايجابي
🇧🇭  التكّة البحرينية  يقصدها اهل الخليج  تجربة طعام تعكس تراث البحرين الغنيّ ,ايجابي
غدًا الخميس  المملكة العربية السعودبة تحتفل بذكرى يوم تأسيس الدولة السعودية 🇸🇦👇  تحتفي المملكة العربية السعودية غداً الخميس  شعبان ه الموافق  فبراير م بذكرى يوم تأسيس الدولة السعودية في منتصف عام ه الموافق لشهر فبراير من عام م على يد الإمام محمد بن سعود  رحمه الله  وتتجسّد في هذه المناسبة الوطنية معاني الاعتزاز بالجذور الراسخة والعمق التاريخي لهذه الدولة المباركة وارتباط مواطنيها الوثيق بقادتها منذ تأسيس الدولة السعودية الأولى قبل ثلاثة قرون وعاصمتها الدرعية ودستورها القرآن الكريم وسنة رسوله صلى الله عليه وسلم حتى وقتنا الحاضر ويفتخر أبناء المملكة بهذا الإرث التاريخي الكبير الذي أسسه الإمام محمد بن سعود  رحمه الله  في دولة عظيمة رسمت سجلاً حافلاً لأحداث الحياة الاجتماعية والسياسية والاقتصادية والثقافية التي عاشها أبناء الجزيرة العربية آنذاك تحت حكم الدولة السعودية الأولى مروراً بحكم الإمام تركي بن عبدالله بن محمد بن سعود  رحمه الله  مؤسس الدولة السعودية الثانية وصولاً إلى توحيد المملكة العربية السعودية على يد موحدها الملك عبدالعزيز بن عبدالرحمن الفيصل آل سعود  رحمه الله  وباني نهضتها الذي ينسب إليه الفضل بعد الله في تطورها ونمائها ووصولها إلى ما وصلت إليه اليوم من نهضة داخلية ومكانة متميزة عربياً وإقليمياً وعالمياً ومن بعده أبناؤه الملوك  رحمهم الله  حتى العهد الزاهر لخادم الحرمين الشريفين الملك سلمان بن عبدالعزيز آل سعود وسمو ولي عهده الأمين  حفظهما الله  وذكرى يوم التأسيس فرصة سانحة لاسترجاع ذاكرة ثلاثة قرون مضت منذ تأسيس الدولة السعودية وما تحمله من أحداث ومواقف خلدتها كتب التاريخ والسِّير وبرزت معالمها على امتداد الجزيرة العربية إذ لم تكن دولة وليدة لحظة عفوية بل تشكلت على مدى قرون ورسخت قواعد الدولة المتماسكة التي أرست الحكم وجعلت أمن المجتمع في مقدمة اهتماماتها مع خدمة الحرمين الشريفين وتحقيق رغد العيش للمجتمع وسط تحديات كثيرة لكن عمق التلاحم الوطني وقوته كان بفضل الله تعالى سبباً في تعاقب الدولة السعودية منذ عام م حتى وقتنا الحاضر وصد أي عدوان خارجي أو محاولة لخلخلة النسيج الاجتماعي في الدولة السعودية لتستمر نجاحاتها حتى العهد الميمون على الرغم من الظروف العصيبة التي مرت بها في الماضي وتزامناً مع هذه المناسبة الوطنية تشهد مدن المملكة إقامة عدد من الفعاليات الثقافية والفنية التي تحلق في سماء الإبداع والحب والولاء مجسدة عمق هذا التاريخ الكبير الذي خلفه لنا قادة هذه البلاد المباركة ورجالاتهم حتى الوقت الحاضر في لوحات معبرة عن فصول من الزمن مرت بها هذه البلاد في أوقات الرخاء والشدة وظلت خلالها  ولله الحمد  راسخة أبيّة محافظة على هويتها العربية الأصيلة مجددة مفهوم الوحدة الوطنية في كل مرحلة من مراحل بناء الدولة السعودية الأولى فالثانية حتى المملكة العربية السعودية ظل خلالها التلاحم عنواناً بارزاً للعلاقة المجيدة ما بين الشعب والقيادة الرشيدة وصولاً للعهد الزاهر لخادم الحرمين الشريفين الملك سلمان بن عبدالعزيز آل سعود وسمو ولي عهده الأمين  حفظهما الله  الذي تشهد خلاله البلاد تطوراً ونهضة في شتى المجالات تقودها الرؤية الطموحة رؤية المملكة   ,ايجابي
الموروث السعودي والهوية الوطنية   يستهزأون بنا كشعب ويتهكمون على عاداتنا وموروثنا الثقافي والتاريخي والاجتماعي وعلى هويتنا الوطنية الثابتة والمتجددة التي نفتخر بها والممتدة منذ مئات السنين وهم أساسا فاقدين لهويتهم الوطنية  فاقد الشيء لايعطيه بل ويحسدك على مالديك  بل ليس لهم هويه بمعنى أن هويتهم الوطنية ملوثه ومشوهه بما دخل عليها من تأثيرات وذلك يجعل البعض منهم يقوم بسرقة بعض من الموروث السعودي وينسبه لبلده وبعضاً منهم يتنكر بأسماء وملابس سعودية في مواقع التواصل لأنه يعلم جيداً أن هذه الهوية تشعره بشيء من المكانة التي يفتقدها في بلده  وعلى فكرة الهوية الوطنية ليست مجرد بطاقة تحملها بجيبك وعليها اسمك وصورتك واسم بلدك فتلك تعتبر أثبات شخصية  أما الهوية الوطنية فهي تاريخ راسخ وثقافة متوارثة وقيم متراكمة عبر الزمن تتوارثها الأجيال جيل بعد جيل بنفس تلك المعاني الراقية والمباديء الأصيلة والقيم السامية ولاأحد يجرؤ على تغييرها بل هي غير قابلة للتغيير أساساً والشعب السعودي هو الشعب الوحيد الذي توارث تلك الهوية بمعانيها الأصيلة التي يعتز بها وبقيمها الثابتة الراسخة التي يفتخر بها بل ويربي أبنائه عليها لأنه وبفضل من الله لم تتعرض تلك الهوية الوطنية للتخريب أو التشويه عبر الأفكار الحزبية المنحرفة وعبر طقوس المذاهب المخالفة للدين أو عبر الثقافات الغربية التي جلبها الإستعمار لغيرهم بل كانت هوية ثابتة بثبات عقيدة وعقلية المواطنين ورسوخ إنتمائهم لهذه الأرض الطيبة المباركة متشبثا بتاريخه الممتد بعمق الزمن فهم يستمدون هويتهم من صحراء نجد وهضابها بحرّها وبردها ومن النفود الكبير بألوانه الذهبية وصموده تحت حرارة الشمس اللافحة وبرودة الشتاء القارس يستمدون هويتهم من شموخ جبال الحجاز وعظمة جبال السروات وعنفوان جبال أجا وسلمى يستمدون هويتهم من أولئك العظماء الذين نشأوا بالجزيرة العربية وخرجوا منها قادة جيوش نشروا الإسلام عبر العالم يستمدون هويتهم من تاريخ الصحابة رضي الله عنهم ومن أبطال هزموا جيوش كسرى من يوم ذي قار إلى يوم القادسيه يستمدونها من أبطال وصلوا إلى حدود الصين ومن شعراء المعلقات شعراء خلدهم التاريخ وباتت أشعارهم مرجعاً للأدب والثقافة في العالم العربي يستمدون هويتهم من هذه الأمجاد العظيمة التي تملأ الجزيرة العربية موحدين الله نابذين للشرك وعبادة القبور والأضرحة والمزارات   الشعب السعودي لايخجل من ماضيه ويذهب ليبحث له عن هوية أخرى بل هو يفتخر بماضيه لأنه ماضٍ مرتبط بحياته وبمستقبله فهو ماضٍ لم يغب عن حياته أساساً فهو يعيش كل تفاصيل ماضيه في حياته اليومية وهذا الأمر هو الذي ساهم في ترسيخ الهوية الوطنية لديه وحماها من التغيير فهم نشأوا في بيئة تحفظ الأنساب والعادات والقيم النبيلة والمباديء السامية في نفوسهم الأبية  الشعب السعودي شعب كان ولايزال يعيش حراً شريفاً لم يتعرض للإستعمار كما تعرضت له شعوب أخرى غيرهم نسفت كل مالديهم من مباديء وعادات أمتد تأثيرها عليهم إلى اليوم حيث يعيشون تائهين بلا هويه وطنية راسخة وثقافاتهم ملوثة بثقافات الدول التي كانت تستعمرهم بينما الشعب السعودي لم يتأثر بأي مؤثرات خارجية والحالة الوحيدة التي يذكرها التاريخ هي محاولات العثمانيين أحتلال أجزاء من الجزيرة العربية إلا أن أبناء هذا الوطن قاموا وبقيادة أئمة حكام السعودية عبر مراحل قيام الدولة السعودية بدءاً من الإمام تركي بن عبدالله رحمه الله مؤسس الدولة السعودية الثانية الذي شن مع رجاله المخلصين من أبناء الأسر العريقة والقبائل المعروفة حملات كبيرة ضدهم حتى تمكن من تحرير أرضه منهم وطردهم ومن ثم قام المؤسس الملك عبدالعزيز ورجاله الأفذاذ رحمهم الله أيضاً بحملات كبيرة وطردوهم من كل الجزيرة العربية لذلك لم يتمكنوا من البقاء طويلا ولم يتسنى لهم التغلغل داخل المجتمع وبالتالي لم يتمكنوا من التأثير على عقلية الشعب السعودي أو تغيير مبادئهم وهويتهم الوطنية أو نشر أفكارهم المنحرفة كالشرك بالله عبر عبادة القبور وتقديس الأضرحة حيث قامت الحكومة السعودية في عهد الملك عبدالعزيز رحمه الله بأزالة تلك المزارات وهدمت الأضرحة التي بنوها على قبور الصحابة رضوان الله عنهم ولاقى هذا الأمر قبولاً تاماً لدى الشعب السعودي عامة لأنهم يعرفون أن بقائها مخالف لتوحيد الله وشرك به ويتنافى مع ماتعلموه من تعاليم الدين الذي نشأوا عليه  الرياض ٢٠  أكتوبر  ٢٠٢٤,ايجابي
السعودي اليوم هو تذكير حي بالعظمة التي حملها العرب الأوائل الذين بنوا حضارات خالدة مثل الحمراء تلك الروح التي امتدت من إسبانيا إلى الهند لا تزال حية في أبناء السعودية تذكرنا بالإرث العربي الإسلامي العظيم,ايجابي
 متاكد ان المقصود يمين الكعبه هل من الممكن يكون الذم بنجد والمدح بيمين مكة ليش نجد فينها اوك حديث ثاني يذكر اليمن وصنعاء بس انا خايفه تقولي مايقصد صنعاء الحاليه يقصد صنعاء الذي بالمملكة  اوك مش اسهل عليه انه يقول نجدنا او حجازنا او اي منطقه من مناطقكم,سلبي
حفل تكريم منسوبات مدارس البشرى الزاهر لحصولها على  في نتائج  على مستوى المملكة العربية السعوديةم,ايجابي
